review,label
Mauvaise experience L'achat de forfaits via l'application est compliqué .C'est même impossible le début du mois puisque le solde internet du mois précédent est épuisé,1
"Je souhaites vraiment comprendre votre logique pour le renouvellement des forfaits, avec un solde de 70 Mo tu ne peux pas te connecter, mais tu ne peux pas racheter un nouveau forfait non plus car il faut soit disant épuiser l'ancien !! estimez vous heureux que suis obligé de garder votre ligne car elle est business, mais votre app laisse vraiment à désirer !!!	",1
Désolé mais la dernière mise à jours ne marche plus? ?????????? SVP corriger ce problème le plus vite possible .merci.	,2
Pendant chaque utilisation de l'application elle demande un mise à jours. L'application ne permet pas de sauvegarder le mot de passe et le plus catastrophique l'application se bloque pendant le mise à jours ou pendant l'ouverture. Merci de demander à un étudiant de faire comme PFE une application plus efficace et jeter celle ci à la poubelle.	,1
"Souvent, il m'est impossible de payer mes factures via cette application, ce qui m'oblige à me rendre à un centre de T Télécom. Pour moi, cette situation est inadmissible, surtout pour une société de télécommunication qui prétend être moderne et à l'avant garde des nouvelles technologies.	",1
"Bizarre. L'application ne me laisse pas acheter un forfait si l'ancien n'est pas épuisé complément. Alors que je peux le faire avec *140#. Et quand le forfait est épuisé, l'application ne peut plus se connecter pour l'achat !!!!	",1
Bonjour Personne ne répond au service client (1298)après 5mn d'attente... Je me demande à quoi sert votre appli Si je suis obligé de passé par l'ancienne forme *140# pour recharger de 25Go via l'application tjrs même msg affiché pour épuisé le solde alors que j'ai juste 40Mo Ou c'est juste pour gagner 3Dt de plus Même les réclamations ne fonctionnent pas	,1
Après la mise à jour l'application ne s'ouvre plus toujours le message d'erreur qui s'affiche. Je ne peux recharger ma ligne vraiment c'est nul.	,1
"Achat forfait impossible, toujours le même Message comme quoi vous devez épuiser l'ancien pour pouvoir acheter un autre. Malheureusement on ne peut même pas épuiser l'ancien.	",2
"Je l'ai abandonné vu que Tunisie Telecom nous oblige à la mettre à jour chaque semaine rien que pour insérer ses jeux bidons.. vous pouvez programmer un un module téléchargeable sans autant nous obliger à mettre à jour, sinon changez de développeur.",1
"Application très utile, mais il faut penser à améliorer le procédure de paiement, la solution actuelle pas efficace et très lente",3
"Me demande de mettre a jour a chaque ouverture, je n'arrive pas toujours a recharger via carte bancaire, obligée de renouveler le mot de passe à chaque connexion",1
Toujours page blanche et j desinstalé et installer autre fois mais encore page blanche,1
Application utile. Dommage que le pdf des factures ne peut etre affiché.,4
tres lente a ouvrir.Elle plante et ne s'ouvre pas.,2
bon réseau mobile mais il y a un grand problème au ligne fixe,3
"Essayez de moderniser votre application, comparez vous avec les autres opérateurs en Tunisie vous êtes loin de leurs niveaux, ou même dans le monde. Soyez concurrentiel et smart.",1
"Applucation non fiable, il y'a toujour le message d'erreur	",1
Pourquoi l'application ne fonctionne pas sur mon appareil Samsung galaxie? ??????!!!!!!!,1
Elle est bloqué juste après la mise à jour elle n'affiche rien l'écran est blanc.	,1
Pourquoi vous exiger a chaque fois la mise à jours pour pouvoir connecter ? Je vais la désinstaller.	,1
Application lente c'est honteux opretaur monopole fi tounes il s'interesse pas a ameliorer l'application tout en sachant que on a les meuilleurs profils des informaticiens en tunisie 👎👎👎👎	,1
"Trop de mises à jours obligatoires, mais application formidable, merci	",5
Après le mise à jour l'application ne fonctionne plus je compose le code de mon compte mais rien ce passe	,4
bonjour l application intrompu avec la derniere mise a jour ne souvre pas prier de resoudre la pobleme technique	,1
Pourquoi le solde bonus ne figure pas dans le suivi du solde ?	,1
Facile à utiliser mais il ya beaucoup des mise à jour	,3
Il y a quelques jours l'application ne fonctionne pas correctement. Est-ce qu'il y a un problème ou je dois installer une deuxième fois ?	,3
"Impossible de payer mes factures depuis plus d'une semaine, c'est énervant à la fin	",1
Application de merd à chaque fois des mise à jour obligatoires	,1
Plusieurs mises à jour exigés dans des courts intervalles de temps Application limitée en options	,1
suivi consommation data corporate pas possible via l'application My TT. veuillez mettre à jour. merci bonne continuation. Aujourd'hui 31/10/2020 services de paiement électronique via carte bancaire ne fonctionne pas via l'application My TT et via le site internet Tunisie Télécom.	,3
"Bonne application, pour la modification de compte , correction du nom ou autre renseignement , après la validation aucun changement constater ?	",4
Depuis la derniere mise à jour l'application ne repond pas	,1
Sans internet ne marche pas contrairement aux opérateurs concurrents	,1
La réclamation sera effacé sans résoudre le problème. A quoi sert l'application	,1
Il y a un problème pour payer plusieurs factures en même temps. Ce n'est pas normal de devoir refaire toute la procédure pour chaque facture.	,2
Lors de chaque dde de recharge l'application me dde de faire une mise a jour de l'application	,1
Je suis déçu de TT ligne adsl installée depuis 15/11/2020 jusqu'aujord'hui 02/12 avec des réclamations quotidiennement et encore pas d'internet	,1
Il reste beaucoup à faire Vous compliquer beaucoup les choses au lieu de facilité le payement en ligne	,1
mise à jour ne signifié pas chaque jour on le mise. stop free. si vous avez pas d'argent je peux payer une bonne application pour vous.	,1
Activation forfait data partager indisponible !!!	,1
L'application est dépourvue du scan code à barre pour les recharges.	,5
Je suis une vielle dame donc pas très agile a la manipulation et un peu lente pour payer ma facture a chaque fois je dois recommencer 3 ou 4 fois pour que ça passe.	,2
"Arrêter SVP l'obligation de passer l'upgrade lors de l'ouverture de l'application, sinn on reste bloquer.	",1
Cette application m'a plu. Merci infiniment Tunisie Télécom	,5
"Juste 3 etoiles, manque de recharger une autre ligne par carte de recharge	",3
Bonne application ça facilite la recharge des lignes.	,5
À chaque fois l application se bloque	,1
L'application ne veut plus démarrer	,1
Domage qu'on ne peut pas payer nos factures TT par l'intermidiaire de cette application.	,1
Je n'arrive pas à me connecter !!	,1
Augmentation de 5dt pour le forfait 25gb est un vol.	,1
Application nulle tu n aboutira à aucun service	,1
Deux recharges effectuées en 2020 l'une de 50 dt et l'autre de 20 dt n'ont jamais abouti malgré les réclamations transmises via votre agence commerciale de Menzel Temime	,1
sur cette application en ne peut pas payée la facture d'une autre personne	,2
