review,service
"Bonjour , #Tunisietelecom est ce que c'est normal quand j'essaye de payer ma facture en ligne sur mon espace TT et avec mes accès je me trouve sur d'autres comptes??? Une, deux , n fois. Et j'ai toutes les informations confidentielles des clients : numéro, factures, adresse, montant.... ça c est grande faille de sécurité dans votre système d'information qui ne peut que nuire aux données personnelles des clients. J'appelle service client pour me renvoyer vers un autre numéro qui décroche mm pas!! Et on néglige la réclamation depuis 2 jours. Question: est ce que c'est normale??",ef
"Tunisie Telecom on attend depuis 6 mois l’installation d’une ligne téléphonique,toujours rien à ce jour et pas de réponses a priori ils ont dit qu'ils ont fait un  appel d’offres pour l’installation du nouvel immeuble hhh",st
La connection chez moi est movaise j'ai passé une réclamation depuis deux mois mais aucune réponse jusqu'à aujourd'hui,adsl
Connexion médiocre!,adsl
honte a vs a votre service technique..10 réclamations et un mois d attente.. et tjrs pas de solution,st
"Service nul et médiocre!!! Internet j'ai payé abonnement 20 méga , je trouve 4.5 méga!!!",adsl
Après une coupure internet il y a quelques jours la connexion est revenu mais j'ai 8 méga dans les paramètres du routeur au lieu de mon offre de 10 méga (waffi). Réclamation faite il ya 2 jours et toujours même problème.,adsl
"Pourquoi votre service technique est merdique? Pourquoi les numéros de renseignements ne fonctionnent pas? pourquoi personne ne répond sur les appels des clients? pourquoi les sous-traitants ne sont jamais a l'heure? On avait cru que internet allait faciliter la vie, la qualité de service, permettre aux gens de travailler a distance, faire gagner du temps et avec le temps on s'est rendu compte que c'est le contraire et cela est a cause du manque de professionnalisme, l'irresponsabilité et la nonchalance de votre compagnie et de vos sous-traitants ! Bref, tiers monde en couleur.",st
"""nous avons remonté votre affaire aux responsables régionaux pour une intervention exceptionnelle""
C'était l'une de vos réponses mensongères depuis le 17-01-2021 suite à ma réclamation qui dure depuis le 05-11-2020
J'attends l'intervention exceptionnelle",sc
L'internet est coupée dans une école depuis le mois de novembre . On a passé 8 réclamations et jusqu'à maintenant rien. Tunisie Télécom vous n'êtes pas sérieux . Pas normal,adsl
adsl n'est pas stable et absence de tonalité téléphone ,adsl
Très mauvaise connexion en plus nous on ne devrait pas payer pour la publicité donc donnez nous une migration pour un débit de 8 mégas gratuite,adsl
Tunisie Télécom c'est quoi le problème a bessetin mnihla telephone dérange dps 17/11/2020 j'ai payée tous...70563506,adsl
est ce que cormale la ligne d'ADSL coupée depuis hier 17 j'usqu'a maintenant,adsl
pourquoi service clientel ne répond pas ? 20 fois j'appelle 1298 et rien,sc
S'il vous plaît ligne téléphonique déranger depuis le 30 décembre 2020 tj pas réponse de la part du service technique c normale en 2021 réclamation faite agence SALAMMBô la goulette et par mail. Il ya une solution ??,st
J'ai le même problème déjà j'ai signé un contrat depuis 5mois 20mega et depuis la connexion ne marche plus et Si sa marche elle est trop faible pas plus de 10 mega. C trop dégoûtant,adsl
Problème de connexion depuis le 25 décembre et j'attends votre intervention!! Maziltou mtawlin??,st
"Problème de connexion depuis Samedi, plusieurs réclamations sans réponse... Service technique injoignable ",st
"Problème de débit d'internet.
Je paie pour 20 mega et fibre optique.
Je n'est que le nom comme service.
C une honte Tunisie Télécom",adsl
"Service client incompétent. informations contradictoires
Depuis le 04/12, ma ligne n'est tjr pas activée
Bravo TT",sc
C honteux plus que 12 jours de coupures,adsl
C fait 4 mois sans internet suite à vos travaux de changement des câbles ce n'est pas normal du tout vous n'avez pas même demander mon autorisation pour le changement c urgent voir une solution rapide,st
"Tunisie Télécom , j'ai migré mon ADSL vers smart rapido (ligne GSM 78827613) depuis deux semaines et j'ai toujours 8 Méga de débit ! J'appelle topnet chaque jour et ils m'expliquent que c'est votre service technique qui s'en occupe!",st
Est ce normal qu'il me reste 61 Mo de forfait qui n'ouvre rien et vous demander d'épuiser le forfait afin que je puisse recharger! Meme que j'ai 10 Go et je veux en rajouter vous voulez de l'argent ou pas laissez nous recharger ce qu'on veut quand on veux!,fm
j'ai un mois j arrete pas de faire des réclamations et pas de réponse de votre part Tunisie Télécom,sc
Jai souscris un abonnement depuis le 1er décembre le modem est là branché depuis début janvier problème de synchronisation aucun service ne prend en charge mes appels et mes réclamations!????,sc
"Très grave !!!! : contrat signé depuis le 18 décembre 2020 et toujours pas d internet et le comble c est qu’on reçoit un sms pour nous demander de payer !! De quel réduction vous parler alors que le service est inexistant le basique n est mm pas disponible !
5 réclamations effectuées dont ci-dessous les numéros :
Le 07 01 2021 ref 1-51674976601
Le 09 01 2021 ref 1-51676262918
Le 19 01 2021 ref 1-51682776161
Le 26 01 2021 ref 1-51687780221
Le 29 01 2021 ref 1-51690784835
mais aucune réaction, aucun coup de fil aucun vis-à-vis rien ! Rien rien !",sc
Une connexion merdique et un service mediocre!!! Plus que 40 appels pour le service technique et personne ne repond. 4 reclamations faites sans auccune réponse et auccun changement.,st
24 /11/2020 ... première réclamation.....et d apres cet jour je fais 8 rappelles de réclamation...maintenant le 10 Janvier 2021 et le telephone encore dérange ....pourquoi.,sc
"j'ai réclamé la coupure de ma ligne téléphonique ça fait une semaine, aucun contact, aucune intervention.. Lors de ma deuxième réclamation c'est avéré que la première était clôturée.. clôturée de quelle manière!!!?? je ne sais pas?! c'est une ligne professionnelle que j'ai utilisée que 3 jours!!!! vous voyez ça normal!!",sc
Vos services clientèle ne répondent pas. Le 71001298 puis le 2 pour GSM et 3 pour le fixe et internet ne marchent pas. Ni le 1 ni le 2 ni le 3 . On ne peut passer à un de vos opérateurs,sc
"Est ce que vous trouvez normal qu'en 2021 on attend plus que 2 mois maintenant pour avoir le WiFi en illimité !!?
On m'a appelé 2 fois, à chaque fois je me dis ça y est il vont venir. Hélas ils appellent juste pour savoir si je veux toujours avoir cette maudite offre ou pas !!!",sc
"ma demande de ligne vdsl a été annulée sans notification
aucune personne ne m'a contacté
est-ce que je passe nouvelle commande? je passe chez la concurrence? quoi faire?",sc
Ça sera mieux si vous commencez à vous occuper des réclamations de vos clients avant tout.. Et améliorer votre service client par la même occasion…,sc
"Réclamation faite depuis 1 semaine, aucune intervention 31/12/2020 référence 1-51670615606
TT vous remercie et vous informe que votre reclamation est enregistree le 02/01/2021 14:11:26 sous la reference 1-51671444670.",sc
"Apres l'activation du voix de la ligne TPH 78226995 depuis un mois, je trouve pas de tonalité jusqu'à moments.
plusieurs réclamations ont ete mis sans résultat",sc
"Bonjour;
Sa fait une semaine que j'attends la visite d'un technicien Tunisie telecom.
Enfin il est venue il y a 3 jours pour raccorder ma nouvelle ligne suite à une demande de transfert il a fait le raccordement jusqu'a chez moi mais il a oublié de faire le nécessaire au niveau du sous répartiteur et voilà depuis je galère reclamation après reclamation pas de connexion personne ne répond je paye sans avoir de service...
Ce pays n'avancera jamais si a chaque fois les responsables font la moitié de ce qu'on leur demande de faire.",st
" ma demande de ligne vdsl a été annulée sans notification
je veux une explication par téléphone ou par email",sc
Répondez correctement aux gens c beaucoup mieux ni téléphone ni internet quand même il faut nous respecter c pas sérieux du tout ???????????????????????????????????????????????????,sc
2 mois sans connexion réclamation en cours !!! Service null,sc
5mois sans connexion plusieurs réclamations en cours sans réponses,sc
"4 mois de dérangement de ma connexion internet
Appeler le 1298
Rappeler le 1298
Aller à l'agence Tunisie Télécom hrairia
Appeler de nouveau
Contacter le service client sur messenger
Appeler encore
Chercher à contacter le service régional
Encore le 1298
Aller à l'agence de nouveau
-
-
Rien",sc
